n_estimators,t_elap,train_acc,train_acc_err,val_acc,val_acc_err
10,26.914812803268433,0.997442578125,3.3797528744242226e-05,0.9911265625000001,0.00010497860645149812
20,59.19120354652405,0.9977867187500001,4.285140226152193e-05,0.9915453125000001,0.000168605262002706
40,134.81372876167296,0.9978738281249999,3.499529125688343e-05,0.9916874999999999,0.00015834532575198244
60,199.6413609981537,0.9979542968749999,3.442379349511837e-05,0.9918156249999999,0.0002305203861646454
80,239.64828543663026,0.9979765625000001,2.294402368062761e-05,0.9918265625,0.00015168326374390148
100,201.58159904479982,0.9979722656250001,2.667714231088293e-05,0.9918828124999999,0.00030430665300398743
150,524.7911843776703,0.997978515625,1.8446435864256738e-05,0.9919296874999999,0.0002850438562747805
200,580.1069278240204,0.998001953125,2.240567249952401e-05,0.9919781249999999,0.0001944292528787881
250,415.2148808479309,0.9980121093750001,2.3122888417110535e-05,0.991928125,0.00010357383386985726
300,486.70544958114624,0.99801640625,2.971318789959343e-05,0.9920031250000001,0.0002860954140448283
350,565.283295583725,0.9979921874999998,4.2933223950121614e-05,0.9919109374999999,0.0001274754878398154
400,643.1036014080048,0.9979921874999998,1.869294705311597e-05,0.99199375,0.00016412945062510562
500,797.9679629802704,0.9979875,2.061819253190553e-05,0.9919765624999999,0.0002082877554310084
